Key,Content,Content(English)_update_time,Word Count,Context,Original,Original(Chinese Simplified)_update_time
Account_DirtyName,Name contains inappropriate language,2025-01-20 08:11:27,40,名字中存在不合规用词,名称包含不当语言,2025-03-26 08:46:39
Account_Invalid_Reward_Line,"If you encounter any issues, please join our Discord server to provide feedback",2025-01-20 08:08:10,79,"If you encounter any issues, please join our Discord server to provide feedback",如果您遇到任何问题，请加入我们的Discord伺服器提供反馈,2025-03-26 08:46:36
Account_Reward_Line_Had_Rewarded,"If you encounter any issues, please join our Discord server to provide feedback",2025-01-20 08:08:10,79,"If you encounter any issues, please join our Discord server to provide feedback",如果您遇到任何问题，请加入我们的Discord伺服器提供反馈,2025-03-26 08:46:31
Account_Reward_Line_Not_Finished,"If you encounter any issues, please join our Discord server to provide feedback",2025-01-20 08:08:10,79,"If you encounter any issues, please join our Discord server to provide feedback",如果您遇到任何问题，请加入我们的Discord伺服器提供反馈,2025-03-26 08:46:43
AI_Arena_Empty_BluePrints,"If you encounter any issues, please join our Discord server to provide feedback",2025-01-20 08:08:10,79,"If you encounter any issues, please join our Discord server to provide feedback",如果您遇到任何问题，请加入我们的Discord伺服器提供反馈,2025-03-26 08:46:28
AI_Arena_Empty_GameContext,Error_Arena_Empty,2025-01-20 08:11:27,120,"If you encounter any issues, please join our Discord server to provide feedback",竞技场空置中,2025-03-26 08:46:42
AI_Arena_Not_Exist,"If you encounter any issues, please join our Discord server to provide feedback",2025-01-20 08:08:10,79,"If you encounter any issues, please join our Discord server to provide feedback",如果您遇到任何问题，请加入我们的Discord伺服器提供反馈,2025-03-26 08:46:38
AI_Char_Empty_BluePrints,Sorry! We are unable to generate a character with your prompt; ticket will be returned,2025-01-20 08:11:27,90,你的词暂时无法生成有效内容，将会退回次数,抱歉！无法根据您的提示生成角色；票券将被退回,2025-03-26 08:46:34
AI_Char_Empty_GameContext,Error_Character_Empty,2025-01-20 08:11:27,79,"If you encounter any issues, please join our Discord server to provide feedback",角色名称不能为空,2025-03-26 08:46:32
AI_CHARACTER_NOT_EXIST,"If you encounter any issues, please join our Discord server to provide feedback",2025-01-20 08:08:10,79,"If you encounter any issues, please join our Discord server to provide feedback",如果您遇到任何问题，请加入我们的Discord伺服器提供反馈,2025-03-26 08:46:37
AI_Character_Slot_Already_Exist,"If you encounter any issues, please join our Discord server to provide feedback",2025-01-20 08:08:10,79,"If you encounter any issues, please join our Discord server to provide feedback",如果您遇到任何问题，请加入我们的Discord伺服器提供反馈,2025-03-26 08:46:30
AI_Create_Invalid_Price,"If you encounter any issues, please join our Discord server to provide feedback",2025-01-20 08:08:10,79,"If you encounter any issues, please join our Discord server to provide feedback",如果您遇到任何问题，请加入我们的Discord伺服器提供反馈,2025-03-26 08:46:40
AI_Ethical_Or_Profanity,"The input contains sensitive words, please try another one!",2025-05-13 08:46:51,100,"The input contains sensitive words, please try another one!",输入包含敏感词， 换一个再试试吧！ ,2025-05-13 08:46:51
AI_Invalid_AI_Item,"If you encounter any issues, please join our Discord server to provide feedback",2025-01-20 08:08:10,79,"If you encounter any issues, please join our Discord server to provide feedback",如果您遇到任何问题，请加入我们的Discord伺服器提供反馈,2025-03-26 08:46:43
AI_Invalid_Arena_Loot_Slot_ID,"If you encounter any issues, please join our Discord server to provide feedback",2025-01-20 08:08:10,79,"If you encounter any issues, please join our Discord server to provide feedback",如果您遇到任何问题，请加入我们的Discord伺服器提供反馈,2025-03-26 08:46:38
AI_Invalid_Desc,"If you encounter any issues, please join our Discord server to provide feedback",2025-01-20 08:08:10,79,"If you encounter any issues, please join our Discord server to provide feedback",如果您遇到任何问题，请加入我们的Discord伺服器提供反馈,2025-03-26 08:46:40
AI_Invalid_Match,"Oops, error occurred! Please join our <color=#5165F6><b>Discord</b></color> server to report errors.{0}",2025-01-20 08:08:10,216,"Oops, error occurred! Please join our <color=#5165F6><b>Discord</b></color> server to report errors.{0}",糟糕！发生错误！请加入我们的<color=#5165F6><b>Discord</b></color>伺服器来报告错误{0},2025-03-26 08:46:34
AI_Invalid_Price,"Price has changed, please quit and enter this page again",2025-01-20 08:11:27,60,价格已更改，请重启之后再尝试,价格已变动，请退出并重新进入此页面,2025-03-26 08:46:42
AI_Invalid_Request,"If you encounter any issues, please join our Discord server to provide feedback",2025-01-20 08:08:10,79,"If you encounter any issues, please join our Discord server to provide feedback",如果您遇到任何问题，请加入我们的Discord伺服器提供反馈,2025-03-26 08:46:38
AI_Invalid_Weapon_Loot_Slot_ID,"If you encounter any issues, please join our Discord server to provide feedback",2025-01-20 08:08:10,79,"If you encounter any issues, please join our Discord server to provide feedback",如果您遇到任何问题，请加入我们的Discord伺服器提供反馈,2025-03-26 08:46:43
AI_IS_CREATING,Slot is in crafting queue,2025-01-20 08:11:28,25,创作槽位已经在等待中,栏位已在创作队列中,2025-03-26 08:46:30
AI_Map_Slot_Already_Exist,"If you encounter any issues, please join our Discord server to provide feedback",2025-01-20 08:08:10,79,"If you encounter any issues, please join our Discord server to provide feedback",如果您遇到任何问题，请加入我们的Discord伺服器提供反馈,2025-03-26 08:46:28
AI_NotEnough_Character_CreateCnt,Error! Not enough character creation opportunity,2025-01-20 08:11:28,79,"If you encounter any issues, please join our Discord server to provide feedback",错误！角色创建机会不足,2025-03-26 08:46:43
AI_NotEnough_Character_Slot,Error! Not enough character slot,2025-01-20 08:11:28,79,"If you encounter any issues, please join our Discord server to provide feedback",错误！角色栏位不足,2025-03-26 08:46:38
AI_NotEnough_Map_CreateCnt,"If you encounter any issues, please join our Discord server to provide feedback",2025-01-20 08:08:10,79,"If you encounter any issues, please join our Discord server to provide feedback",如果您遇到任何问题，请加入我们的Discord伺服器提供反馈,2025-03-26 08:46:37
AI_NotEnough_Map_Slot,"If you encounter any issues, please join our Discord server to provide feedback",2025-01-20 08:08:10,79,"If you encounter any issues, please join our Discord server to provide feedback",如果您遇到任何问题，请加入我们的Discord伺服器提供反馈,2025-03-26 08:46:27
AI_NotEnough_Weapon_CreateCnt,"If you encounter any issues, please join our Discord server to provide feedback",2025-01-20 08:08:10,79,"If you encounter any issues, please join our Discord server to provide feedback",如果您遇到任何问题，请加入我们的Discord伺服器提供反馈,2025-03-26 08:46:29
AI_NotEnough_Weapon_Slot,Error! Not enough weapon creation slot,2025-01-20 08:11:28,79,"If you encounter any issues, please join our Discord server to provide feedback",错误！武器创建栏位不足,2025-03-26 08:46:43
AI_SLOT_NOT_Exist,Error! AI creation slot does not exist,2025-01-20 08:11:28,79,"If you encounter any issues, please join our Discord server to provide feedback",错误！ AI创建栏位不存在,2025-03-26 08:46:36
AI_SLOT_NOT_VALID,"If you encounter any issues, please join our Discord server to provide feedback",2025-01-20 08:08:10,79,"If you encounter any issues, please join our Discord server to provide feedback",如果您遇到任何问题，请加入我们的Discord伺服器提供反馈,2025-03-26 08:46:38
AI_Unknown_Error,"Sorry Dreamer! AI doesn't understand your input yet, try something different!",2025-01-20 08:11:28,80,你的创意AI还不能理解！ 试着生成点别的吧！ ,抱歉，梦想家！ AI 暂时无法理解你的提示，试试其他东西吧！,2025-03-26 08:46:30
AI_Weapon_Empty_BluePrints,Sorry! We are unable to generate a weapon with your prompt; ticket will be returned,2025-01-20 08:11:28,90,你的词暂时无法生成有效内容，将会退回次数,抱歉！无法根据您的提示生成武器；票券将被退回,2025-03-26 08:46:32
AI_Weapon_Empty_GameContext,Error_Weapon_Empty,2025-01-20 08:11:28,80,"If you encounter any issues, please join our Discord server to provide feedback",武器空置中,2025-03-26 08:46:34
AI_Weapon_Not_Exist,"If you encounter any issues, please join our Discord server to provide feedback",2025-01-20 08:08:10,79,"If you encounter any issues, please join our Discord server to provide feedback",如果您遇到任何问题，请加入我们的Discord伺服器提供反馈,2025-03-26 08:46:34
AI_Weapon_Slot_Already_Exist,"If you encounter any issues, please join our Discord server to provide feedback",2025-01-20 08:08:10,79,"If you encounter any issues, please join our Discord server to provide feedback",如果您遇到任何问题，请加入我们的Discord伺服器提供反馈,2025-03-26 08:46:37
AI_Wish_Not_Clear,Sorry! We are unable to generate with your prompt; ticket will be returned,2025-01-20 08:11:28,80,你的词暂时无法生成有效内容，将会退回次数,抱歉！无法根据您的提示生成内容；票券将被退回,2025-03-26 08:46:29
ErrCode_ALREADYINGROUP,Already in squad,2025-01-20 08:11:28,22,已经在群组中,已加入小队,2025-03-26 08:46:35
ErrCode_ALREADYINMATCHMAKING,"If you encounter any issues, please join our Discord server to provide feedback.2",2025-01-20 08:11:28,81,,如果您遇到任何问题，请加入我们的Discord伺服器提供反馈。 2,2025-03-26 08:46:28
ErrCode_ALREADYINVITED,Already invited,2025-01-20 08:11:28,20,已经被邀请,已邀请,2025-03-26 08:46:42
ErrCode_AUTOGROUPTIMEOUT,Auto team-up timed out,2025-01-20 08:11:28,22,自动组队超时,自动队伍组建超时,2025-03-26 08:46:31
ErrCode_CANNOTINVITEOTHERREGION,Unable to invite Dreamers from other regions,2025-01-20 08:11:28,45,无法邀请其他区域的用户,无法邀请其他地区的梦想家,2025-03-26 08:46:29
ErrCode_CANNOTINVITESELF,Unable to invite yourself,2025-01-20 08:11:28,30,无法邀请自己,无法邀请自己,2025-03-26 08:46:32
ErrCode_CANNOTKICKSELF,Unable to kick yourself out,2025-01-20 08:11:28,35,无法将自己踢出,无法将自己踢出,2025-03-26 08:46:34
ErrCode_Common,"Oops, error occurred! Please join our <color=#5165F6><b>Discord</b></color> server to report errors.{0}",2025-01-20 08:11:28,103,,Oops，发生错误！请加入我们的<color=#5165F6><b>Discord</b></color>伺服器来报告错误{0},2025-03-26 08:46:41
ErrCode_CREATCHAR_FAIL,"If you encounter any issues, please join our Discord server to provide feedback.",2025-01-20 08:11:28,80,,如果您遇到任何问题，请加入我们的Discord伺服器提供反馈。,2025-03-26 08:46:28
ErrCode_CREATEGROUPFAIL,Fail to start squad,2025-01-20 08:11:28,22,创建群组失败,无法创建小队,2025-03-26 08:46:41
ErrCode_CREATEPLAYERFAIL,Failed to create character,2025-01-20 08:11:28,22,创建玩家失败,创建角色失败,2025-03-26 08:46:28
ErrCode_DIFFERENTGROUPS,Different squad,2025-01-20 08:11:28,20,不同的群组,不同小队,2025-03-26 08:46:30
ErrCode_GROUPEXISTED,Squad already exists,2025-01-20 08:11:28,20,群组已存在,小队已经存在,2025-03-26 08:46:33
ErrCode_GROUPINGAME,Unable to matchmake as squad member still in game,2025-01-20 08:11:28,50,还有组员在局内 ，无法开始匹配,无法进行配对，因为队伍成员仍在游戏中,2025-03-26 08:46:43
ErrCode_GROUPNOTIDLEFORBIDCHANGEMODE,Unable to switch mode as squad member still in game,2025-01-20 08:11:28,60,还有组员在局内 ，无法切换模式,无法切换模式，因为队伍成员仍在游戏中,2025-03-26 08:46:37
ErrCode_GROUPNOTINGAME,Squad not in game,2025-01-20 08:11:29,24,群组未在游戏中,小队不在游戏中,2025-03-26 08:46:38
ErrCode_INVALIDGROUPMODE,Squad mode invalid,2025-01-20 08:11:29,22,群组模式无效,小队模式无效,2025-03-26 08:46:40
ErrCode_INVITEEALREADYINGAME,Invitee currently in a game,2025-01-20 08:11:29,30,被邀请人已经在游戏中,受邀者目前正在游戏中,2025-03-26 08:46:36
ErrCode_INVITEEALREADYINGROUP,Invitee already in squad,2025-01-20 08:11:29,30,被邀请人已经在群组中,受邀者已在小队中,2025-03-26 08:46:37
ErrCode_INVITEEALREADYOFFLINE,Invitee is offline,2025-01-20 08:11:29,26,被邀请人已经离线,被邀请者目前离线,2025-03-26 08:46:40
ErrCode_JOINERALREADYINGROUP,Joined Dreamer already in squad,2025-01-20 08:11:29,40,加入者已经在群组中,梦想家已在队伍中,2025-03-26 08:46:34
ErrCode_LOGINGAMESERVERTIMEOUT,"If you encounter any issues, please join our Discord server to provide feedback.5",2025-01-20 08:11:29,81,,如果您遇到任何问题，请加入我们的Discord伺服器提供反馈。 5,2025-03-26 08:46:41
ErrCode_MATCHMAKING_FAIL,Matchmaking failed,2025-01-20 08:11:29,18,匹配失败,配对失败,2025-03-26 08:46:28
ErrCode_MMTIMEOUT,"If you encounter any issues, please join our Discord server to provide feedback.",2025-01-20 08:11:29,80,,如果您遇到任何问题，请加入我们的Discord伺服器提供反馈。,2025-03-26 08:46:32
ErrCode_NETWORKISSUE,Network Error!,2025-01-20 08:11:29,15,,网路错误！,2025-03-26 08:46:30
ErrCode_NOGAMESERVERAVAILABLE,"If you encounter any issues, please join our Discord server to provide feedback.4",2025-01-20 08:11:29,81,,如果您遇到任何问题，请加入我们的Discord伺服器提供反馈。 4,2025-03-26 08:46:41
ErrCode_NOGROUP,No squad,2025-01-20 08:11:29,18,没有群组,无小队,2025-03-26 08:46:28
ErrCode_NOSUCHPOOL,No such pool,2025-01-20 08:11:29,22,没有这样的池,没有这个池,2025-03-26 08:46:35
ErrCode_NOTGROUPCAPTAIN,Not squad captain,2025-01-20 08:11:29,22,不是群组队长,非小队队长,2025-03-26 08:46:41
ErrCode_NOTINGROUP,Not in squad,2025-01-20 08:11:29,20,不在群组中,不在小队中,2025-03-26 08:46:40
ErrCode_REACHMAXINVITEE,Invitation limit reached,2025-01-20 08:11:29,26,达到邀请人数上限,已达邀请上限,2025-03-26 08:46:37
ErrCode_REACHMAXMEMBER,Squad member limit reached,2025-01-20 08:11:29,26,达到群组成员上限,已达小队成员上限,2025-03-26 08:46:31
FRIEND_ALREADY_INPUT_INVITER,"If you encounter any issues, please join our Discord server to provide feedback",2025-01-20 08:08:10,79,"If you encounter any issues, please join our Discord server to provide feedback",如果您遇到任何问题，请加入我们的Discord伺服器提供反馈,2025-03-26 08:46:36
FRIEND_ALREADY_SENT_REQUEST,Friend request sent,2025-01-20 08:11:29,30,已经发送了好友申请,好友邀请已送出,2025-03-26 08:46:33
FRIEND_BLOCK_MAX_COUNT,"If you encounter any issues, please join our Discord server to provide feedback",2025-01-20 08:08:10,79,"If you encounter any issues, please join our Discord server to provide feedback",如果您遇到任何问题，请加入我们的Discord伺服器提供反馈,2025-03-26 08:46:40
FRIEND_CAN_NOT_INVITE_SELF,Unable to invite yourself,2025-01-20 08:11:29,30,无法邀请自己,无法邀请自己,2025-03-26 08:46:29
FRIEND_DUPLICATE,Friends cannot be added repeatedly,2025-01-20 08:11:29,79,不可重复添加好友,好友不能重复添加,2025-03-26 08:46:35
FRIEND_FRIEND_INVALID_CONFIG,"If you encounter any issues, please join our Discord server to provide feedback",2025-01-20 08:08:10,79,"If you encounter any issues, please join our Discord server to provide feedback",如果您遇到任何问题，请加入我们的Discord伺服器提供反馈,2025-03-26 08:46:32
FRIEND_INVALID_ACCOUNT,"If you encounter any issues, please join our Discord server to provide feedback",2025-01-20 08:08:10,79,"If you encounter any issues, please join our Discord server to provide feedback",如果您遇到任何问题，请加入我们的Discord伺服器提供反馈,2025-03-26 08:46:30
FRIEND_LEVEL_NOT_ENOUGH,"If you encounter any issues, please join our Discord server to provide feedback",2025-01-20 08:08:10,79,"If you encounter any issues, please join our Discord server to provide feedback",如果您遇到任何问题，请加入我们的Discord伺服器提供反馈,2025-03-26 08:46:30
